Foyer Depense Region Type SurfaceC  
12225 2764.89990234375 1 0 11422  
13314 940.93359375 1 0 4458
12101 1786.92578125 1 0 3000  
7505 2130.50463867188 1 1 0  
11709 1149.15100097656 1 0 4269  
15309 1461.8466796875 1 0 3718  
13006 1981.33581542969 1 0 8810  
14809 1497.91662597656 1 0 2952  
12716 1199.58544921875 1 0 4320  
14115 1329.03881835938 1 0 3216  
13017 2415.49658203125 1 0 6630  
14915 13742.8173828125 1 0 0  
7807 1299.1279296875 1 1 0  
15816 1073.68334960938 1 0 4550  
4411 3916.748046875 1 1 0  
15821 1856.15686035156 1 0 3200  
13222 1079.37817382813 1 0 6000  
13001 2328.95922851562 1 0 3940  
15015 3569.27075195312 1 0 4620  
7716 2332.62573242187 1 1 0  
13320 2201.8369140625 1 0 0  
13511 933.227233886719 1 0 4401  
14516 2286.609375 1 0 1920  
14212 2751.31518554688 1 0 2400  
12714 567.161071777344 1 0 4416  
4114 1809.95178222656 1 1 0  
4406 2693.88037109375 1 1 0  
14320 1081.16662597656 1 0 3694  
13701 1180.32641601563 1 0 4560  
12308 1174.74877929688 1 0 6741  
15209 1678.38525390625 1 0 3036  
11916 1614.55920410156 1 0 2040  
14608 1489.34985351563 1 0 3742  
14718 4315.0810546875 1 0 0  
15020 2873.98901367187 1 0 1680  
12721 1380.36938476563 1 0 6964  
13121 1346.50915527344 1 0 6400  
12418 1103.22387695313 1 0 1080  
13418 880.199645996094 1 0 1080  
15804 1354.97241210938 1 0 4932  
14906 1971.11889648438 1 0 612  
11702 1393.05090332031 1 0 7630  
13104 1598.31384277344 1 0 14540  
8020 3200.12377929687 1 1 0  
15318 2605.24658203125 1 0 3350  
11909 3878.21850585938 1 0 2430  
12410 1160.36901855469 1 0 4810  
4110 3232.8505859375 1 1 0  
13622 1848.64001464844 1 0 5136  
13210 1911.8623046875 1 0 13400  
14005 2442.16821289062 1 0 2843  
8009 1891.69067382813 1 1 0  
13809 1190.70446777344 1 0 2184  
7604 2655.8681640625 1 1 0  
11716 920.1650390625 1 0 5606  
12210 1257.22521972656 1 0 1370  
14807 3620.03125 1 0 0  
7705 1578.30139160156 1 1 0  
14406 815.194763183594 1 0 3041  
7520 4816.39892578125 1 1 0  
7409 3916.4375 1 1 0  
13211 1966.89819335938 1 0 3000  
14702 3011.66552734375 1 0 0  
14811 1671.05444335938 1 0 0  
7413 3036.53295898437 1 1 0  
7503 5261.521484375 1 1 0  
15019 4386.125 1 0 0  
7507 1764.63793945313 1 1 0  
7302 3234.99340820312 1 1 0  
13918 3003.88549804688 1 0 3609  
7602 3252.44213867188 1 1 0  
